Policy_ID,DOB,AGE,INCOME,PARENT1,HOME_VALUE,MARRIED,GENDER,EDUCATION,OCCUPATION,TRAVEL_TIME,CAR_USAGE,IDV,CAR_TYPE,RED_CAR,OLD_CLAIM,CLAIM_FREQ,MVR_POINTS,CLAIM_AMOUNT,CAR_AGE,CLAIM_STATUS,URBANICITY
63581743,16-Mar-39,60,$67349,No,$0,z_No,M,PhD,Professional,14,Private,$14230,Minivan,yes,$4461,2,3,$0,18,0,Highly Urban; Urban
454040458,09-Apr-46,53,$38036,No,$153381,Yes,z_F,z_High School,z_Blue Collar,32,Commercial,$13140,z_SUV,no,$0,0,4,$2425,1,1,Highly Urban; Urban
951246359,30-Mar-46,53,$41199,No,$150933,z_No,z_F,Bachelors,Manager,21,Private,$15360,z_SUV,no,$0,0,0,$0,8,0,Highly Urban; Urban
389315422,28-Nov-69,29,$38042,Yes,$202967,z_No,M,z_High School,Professional,15,Private,$15160,Minivan,no,$0,0,0,$0,1,0,Highly Urban; Urban
180660768,20-Jan-41,58,$91223,No,$0,z_No,M,Masters,Lawyer,23,Private,$10620,Pickup,no,$0,0,0,$0,,0,Highly Urban; Urban
184578161,25-Jul-44,55,$45787,No,$173196,Yes,z_F,Masters,Lawyer,5,Private,$19380,Minivan,no,$0,0,0,$0,13,0,Highly Urban; Urban
59798468,17-Sep-44,55,$84964,No,$227091,Yes,M,Bachelors,z_Blue Collar,21,Commercial,$5760,Pickup,yes,$969,2,6,$0,11,0,Highly Urban; Urban
957817015,04-Nov-43,56,$38240,No,$190675,Yes,z_F,z_High School,Clerical,28,Private,$16220,z_SUV,no,$0,0,0,$0,,0,z_Highly Rural; Rural
402443529,20-Dec-59,39,$0,No,$69369,Yes,z_F,z_High School,Home Maker,36,Private,$8750,Sports Car,no,$0,0,0,$0,8,0,Highly Urban; Urban
298667574,26-Jun-55,44,$142588,No,$365256,Yes,M,Masters,Manager,28,Private,$21790,Minivan,yes,$0,0,2,$0,9,0,Highly Urban; Urban
303462460,13-May-65,34,$51565,No,$0,z_No,M,Masters,Lawyer,36,Private,$18110,Van,yes,$759,2,3,$0,15,0,Highly Urban; Urban
629946797,08-Aug-65,34,$0,No,$66358,Yes,z_F,z_High School,Home Maker,25,Private,$11740,z_SUV,no,$1800,2,2,$5711,1,1,Highly Urban; Urban
783473090,06-Jan-63,36,$105384,No,$267509,Yes,M,Masters,Professional,24,Private,$13800,Minivan,yes,$31695,3,4,$0,17,0,Highly Urban; Urban
8565171,13-Oct-58,41,$66265,No,$159276,Yes,M,Masters,Lawyer,59,Private,$12230,Minivan,yes,$0,0,1,$13105,9,1,Highly Urban; Urban
950995873,30-Apr-53,46,,No,,z_No,M,Masters,,17,Commercial,$23350,Panel Truck,yes,$4678,3,6,$4061,17,1,Highly Urban; Urban
867703916,08-Mar-54,45,$32394,No,$0,z_No,z_F,z_High School,Clerical,33,Private,$13770,z_SUV,no,$0,0,0,$0,1,0,Highly Urban; Urban
593582812,31-Jul-57,42,$76226,No,$217920,Yes,M,Bachelors,z_Blue Collar,18,Commercial,$23390,Panel Truck,yes,$0,0,0,$0,14,0,Highly Urban; Urban
22340563,25-May-61,38,$7528,No,$113809,Yes,M,<High School,Clerical,26,Private,$8080,Pickup,yes,$0,0,0,$0,8,0,z_Highly Rural; Rural
679555193,16-Feb-66,33,$0,Yes,$0,z_No,M,z_High School,Student,14,Commercial,$15090,Minivan,yes,$1631,1,2,$7838,5,1,Highly Urban; Urban
161607403,01-Aug-62,37,,No,$73890,Yes,z_F,Bachelors,Student,48,Commercial,$12850,z_SUV,no,$0,0,3,$3660,6,1,Highly Urban; Urban
700623278,05-Jan-57,42,$32797,No,$160661,Yes,z_F,Masters,Lawyer,63,Private,$21690,Minivan,no,$0,0,2,$0,14,0,Highly Urban; Urban
755810990,20-Nov-51,47,$44705,No,$217885,Yes,z_F,Bachelors,Professional,50,Private,$12840,z_SUV,no,$1533,2,0,$5125,10,1,Highly Urban; Urban
464090162,11-Nov-56,43,$0,No,$70170,Yes,z_F,Bachelors,Home Maker,26,Private,$8350,z_SUV,no,$0,0,3,$0,7,0,Highly Urban; Urban
170483243,06-Jun-47,52,$68992,No,$216986,z_No,z_F,Bachelors,z_Blue Collar,36,Commercial,$15120,Minivan,no,$0,0,3,$0,10,0,z_Highly Rural; Rural
421316364,08-Oct-56,43,$132561,No,$314433,z_No,M,Masters,Professional,8,Commercial,$30150,Panel Truck,no,$12294,1,0,$0,1,0,Highly Urban; Urban
505563410,06-Jan-35,64,$31738,No,$197010,Yes,M,<High School,z_Blue Collar,23,Commercial,$14620,z_SUV,no,$3994,2,0,$5085,1,1,Highly Urban; Urban
813759954,21-Jan-33,66,$96830,No,$325826,Yes,M,Masters,Professional,23,Private,$11180,z_SUV,no,$0,0,0,$0,16,0,Highly Urban; Urban
37074844,24-Feb-39,60,$125893,No,$0,z_No,M,PhD,,21,Commercial,$7500,Pickup,yes,$7278,2,4,$0,15,0,Highly Urban; Urban
130470336,08-Dec-63,35,$154577,Yes,$397868,z_No,z_F,Bachelors,z_Blue Collar,27,Private,$20450,z_SUV,no,$4645,1,3,$0,1,0,Highly Urban; Urban
637739719,23-Apr-47,52,$64014,No,$244863,Yes,M,<High School,z_Blue Collar,33,Commercial,$7900,Pickup,yes,$8882,3,1,$2143,5,1,Highly Urban; Urban
427956603,11-Sep-47,52,$79348,No,$270032,Yes,z_F,z_High School,Manager,23,Private,$13150,z_SUV,no,$0,0,2,$0,1,0,Highly Urban; Urban
993272296,26-Jul-43,56,$192089,No,$471701,Yes,M,PhD,,31,Commercial,$21100,Van,yes,$0,0,0,$6484,,1,Highly Urban; Urban
880941719,08-Jun-61,38,,No,$0,Yes,z_F,z_High School,Student,40,Private,$7050,Sports Car,no,$0,0,0,$0,10,0,z_Highly Rural; Rural
765577228,08-May-44,55,$108152,No,$329756,Yes,z_F,Masters,Manager,18,Private,$12320,z_SUV,no,$0,0,0,$0,15,0,Highly Urban; Urban
879477038,14-Dec-51,47,,No,$276241,Yes,M,Bachelors,Manager,48,Private,$21320,Van,yes,$0,0,0,$0,13,0,Highly Urban; Urban
718294261,30-Sep-62,37,$123520,No,$383731,Yes,M,Bachelors,z_Blue Collar,14,Commercial,$17550,Van,no,$0,0,0,$0,,0,Highly Urban; Urban
538875785,06-Jul-52,47,$45257,No,$160051,Yes,M,Bachelors,Clerical,33,Commercial,$29210,Panel Truck,yes,$0,0,0,$0,,0,Highly Urban; Urban
106556153,04-Mar-73,26,$53244,No,$0,z_No,M,Bachelors,Professional,28,Commercial,$20920,Van,yes,$6224,1,1,$4028,8,1,Highly Urban; Urban
199037688,05-Sep-38,61,$41857,No,$169015,Yes,z_F,Masters,Manager,35,Private,$20870,Sports Car,no,$0,0,0,$0,21,0,Highly Urban; Urban
602893924,22-Oct-58,41,$126468,Yes,$0,z_No,z_F,Masters,Manager,34,Commercial,$32690,Pickup,no,$0,0,2,$2114,18,1,Highly Urban; Urban
52095937,19-Jun-59,40,$75516,No,$247673,Yes,z_F,z_High School,z_Blue Collar,53,Commercial,$13050,Sports Car,no,$0,0,0,$0,6,0,z_Highly Rural; Rural
351243985,06-Mar-47,52,$76954,No,$249290,z_No,M,Bachelors,Professional,44,Private,$19540,Minivan,yes,$0,0,0,$0,11,0,Highly Urban; Urban
838970447,29-Jul-41,58,$150352,No,$421665,Yes,z_F,Masters,Manager,21,Private,$24240,Pickup,no,$0,0,0,$0,17,0,Highly Urban; Urban
515204929,20-Jan-47,52,$88560,No,$244028,Yes,M,Masters,Lawyer,14,Private,$13630,Minivan,no,$0,0,4,$0,17,0,Highly Urban; Urban
711833264,25-Apr-61,38,$37580,No,$173495,Yes,z_F,<High School,Clerical,36,Private,$5260,z_SUV,no,$867,2,0,$8671,1,1,Highly Urban; Urban
818910510,08-Apr-58,41,$23344,No,$147172,Yes,M,z_High School,z_Blue Collar,10,Private,$7930,Pickup,no,$0,0,1,$6287,1,1,Highly Urban; Urban
243016778,20-Jan-62,37,$43290,No,$158771,Yes,z_F,Bachelors,z_Blue Collar,29,Private,$23640,z_SUV,no,$0,0,0,$0,10,0,Highly Urban; Urban
456565450,22-Nov-50,48,$48737,No,$220264,Yes,M,Bachelors,Manager,24,Private,$11220,Pickup,yes,$0,0,1,$0,1,0,Highly Urban; Urban
693628088,16-Jan-52,47,$64259,No,$202031,Yes,M,z_High School,Clerical,26,Private,$25100,Minivan,no,$9526,4,3,$0,9,0,Highly Urban; Urban
735552551,19-Nov-57,41,$110386,No,$335488,Yes,M,Masters,,21,Commercial,$16640,Van,yes,$0,0,2,$3524,14,1,Highly Urban; Urban
504537312,17-Mar-50,49,$53765,No,$0,z_No,z_F,Bachelors,Professional,5,Private,$12360,z_SUV,no,$0,0,0,$0,1,0,Highly Urban; Urban
82973186,05-Jul-58,41,$12541,No,$0,z_No,M,<High School,Clerical,5,Private,$7500,Minivan,yes,$0,0,0,$0,1,0,z_Highly Rural; Rural
568473723,26-Sep-52,47,$104271,No,$265153,Yes,M,Masters,,40,Commercial,$36120,Panel Truck,yes,$0,0,0,$0,11,0,Highly Urban; Urban
363126949,03-Aug-69,30,$26226,No,$165178,Yes,z_F,z_High School,Clerical,68,Private,$23610,z_SUV,no,$0,0,1,$0,1,0,z_Highly Rural; Rural
411375726,05-Apr-55,44,$67278,No,$220556,Yes,z_F,Masters,Lawyer,49,Private,$20210,Minivan,no,$0,0,0,$0,16,0,z_Highly Rural; Rural
789568994,16-Jun-53,46,$104990,No,$306540,z_No,z_F,Bachelors,Professional,40,Private,$16080,z_SUV,no,$0,0,0,$0,7,0,Highly Urban; Urban
927823143,02-Jan-50,49,$89948,No,$0,z_No,z_F,Bachelors,Professional,37,Private,$18160,z_SUV,no,$0,0,4,$0,9,0,Highly Urban; Urban
453867386,11-Apr-66,33,$111427,No,$321483,Yes,z_F,Masters,,35,Commercial,$28180,Van,no,$0,0,3,$0,4,0,Highly Urban; Urban
747049542,21-Jun-65,34,$29431,No,$143149,Yes,z_F,<High School,Clerical,12,Private,$22560,Minivan,no,$0,0,1,$0,,0,Highly Urban; Urban
1307371,08-Aug-55,44,$44790,No,$205463,Yes,z_F,Masters,,5,Commercial,$19800,Pickup,no,$37163,1,4,$0,9,0,Highly Urban; Urban
237786417,20-Jan-56,43,$76159,Yes,$0,z_No,z_F,Bachelors,Professional,52,Private,$19750,z_SUV,no,$0,0,0,$1807,,1,Highly Urban; Urban
179968769,03-Dec-36,62,$107734,No,$0,z_No,z_F,PhD,Lawyer,54,Private,$18470,z_SUV,no,$0,0,0,$0,15,0,Highly Urban; Urban
180832267,18-Jan-57,42,$0,No,,z_No,M,<High School,Student,47,Commercial,$5700,Pickup,yes,$0,0,5,$10594,1,1,Highly Urban; Urban
328154114,20-Aug-63,36,$25282,Yes,$0,z_No,z_F,z_High School,Clerical,38,Private,$11160,z_SUV,no,$0,0,0,$0,1,0,z_Highly Rural; Rural
316724150,24-Dec-51,47,$18549,No,$116136,Yes,M,Masters,Lawyer,24,Private,$12800,Minivan,no,$0,0,0,$0,14,0,Highly Urban; Urban
