policy_id,age,cust_age_category,income,parent1,home_value,married,gender,education,occupation,travel_time,car_usage,IDV,car_type,red_car,old_claim,claim_freq,MVR_points,claim_amount,car_age,car_age_category,claim_status,urbanicity
308455362,53,mid-age,"$77100",No,"$0",z_No,z_F,Masters,Lawyer,15,Private,"$18300","Sports Car",no,"$0",0,0,"$6077",11,used,1,"Highly Urban; Urban"
989828809,43,mid-age,"$52642",No,"$209970",Yes,z_F,Masters,Professional,36,Private,"$22420",Minivan,no,"$0",0,0,"$0",1,New,0,"z_Highly Rural; Rural"
376482434,55,mid-age,"$59162",No,"$180232",Yes,M,Bachelors,Manager,25,Commercial,"$17600",Van,yes,"$5028",2,3,"$0",9,used,0,"Highly Urban; Urban"
665591504,53,mid-age,"$130795",No,"$0",z_No,M,PhD,,64,Commercial,"$28340","Panel Truck",yes,"$0",0,3,"$1267",10,used,1,"Highly Urban; Urban"
713692930,35,young,"$21204",Yes,"$0",z_No,M,"z_High School",Clerical,74,Private,"$9230",Pickup,no,"$0",0,0,"$0",4,New,0,"z_Highly Rural; Rural"
588888550,45,mid-age,"$0",No,"$106859",Yes,z_F,"<High School","Home Maker",48,Private,"$6000",z_SUV,no,"$0",0,3,"$2920",5,New,1,"Highly Urban; Urban"
140015922,39,young,"$51884",Yes,"$180951",z_No,z_F,Bachelors,Clerical,43,Private,"$10590",z_SUV,no,"$0",0,0,"$0",13,old,0,"z_Highly Rural; Rural"
162166370,59,mid-age,"$87460",No,"$0",z_No,M,"z_High School",Manager,45,Private,"$15420",Minivan,yes,"$44857",2,4,"$4111",1,New,1,"Highly Urban; Urban"
884513944,42,mid-age,"$59945",No,"$192207",Yes,M,Masters,Lawyer,42,Private,"$14190",Minivan,no,"$0",0,0,"$0",16,old,0,"Highly Urban; Urban"
627708979,34,young,"$34019",No,"$91875",Yes,z_F,Masters,Lawyer,27,Private,"$8300",z_SUV,no,"$0",0,0,"$0",20,old,0,"Highly Urban; Urban"
116375554,31,young,"$18903",No,"$93797",Yes,z_F,"<High School",Clerical,48,Private,"$17330",Minivan,no,"$0",0,0,"$0",7,used,0,"Highly Urban; Urban"
235358484,28,young,"$44077",No,"$170598",Yes,z_F,"z_High School","z_Blue Collar",29,Commercial,"$8710",z_SUV,no,"$8935",2,0,"$6857",1,New,1,"Highly Urban; Urban"
528040687,43,mid-age,"$37214",No,,Yes,M,"<High School","z_Blue Collar",52,Commercial,"$26560","Panel Truck",yes,"$0",0,3,"$3627",1,New,1,"Highly Urban; Urban"
652572577,48,mid-age,"$96274",No,"$282904",Yes,z_F,Masters,Lawyer,36,Private,"$11130",z_SUV,no,"$8250",1,5,"$0",14,old,0,"Highly Urban; Urban"
410873772,47,mid-age,"$46281",No,"$0",z_No,z_F,"<High School","z_Blue Collar",29,Private,"$19700",Minivan,no,"$0",0,1,"$0",5,New,0,"Highly Urban; Urban"
254362485,44,mid-age,"$0",No,"$82344",Yes,z_F,"z_High School","Home Maker",8,Private,"$5900",z_SUV,no,"$3338",3,0,"$0",11,used,0,"Highly Urban; Urban"
69165559,46,mid-age,,No,"$207519",Yes,M,Bachelors,Professional,7,Commercial,"$25660","Panel Truck",no,"$2119",1,2,"$0",12,used,0,"Highly Urban; Urban"
201327208,60,mid-age,"$37940",No,"$182739",Yes,z_F,"z_High School","z_Blue Collar",16,Commercial,"$11290","Sports Car",no,"$0",0,0,"$5247",1,New,1,"Highly Urban; Urban"
573751437,33,young,"$79606",No,"$225962",Yes,z_F,Bachelors,Professional,27,Private,"$16830",z_SUV,no,"$0",0,2,"$0",15,old,0,"z_Highly Rural; Rural"
483050926,32,young,"$31275",No,"$118160",Yes,z_F,"z_High School",Clerical,26,Private,"$10030",z_SUV,no,"$0",0,0,"$4486",1,New,1,"Highly Urban; Urban"
146989842,44,mid-age,"$45488",No,"$219378",Yes,M,Bachelors,Manager,16,Private,"$22090",Minivan,no,"$0",0,0,"$0",12,used,0,"Highly Urban; Urban"
742435591,35,young,"$72193",No,"$0",z_No,z_F,Bachelors,Clerical,26,Private,"$12220",z_SUV,no,"$0",0,3,"$0",12,used,0,"Highly Urban; Urban"
915517588,40,young,,No,"$98777",Yes,z_F,Masters,"Home Maker",15,Private,"$14130",z_SUV,no,"$38127",2,4,"$0",12,used,0,"z_Highly Rural; Rural"
66662029,49,mid-age,"$49244",No,"$163444",Yes,M,Bachelors,Clerical,30,Private,"$15880",Minivan,no,"$0",0,1,"$0",1,New,0,"Highly Urban; Urban"
294816298,36,young,"$130540",Yes,"$344195",z_No,z_F,Bachelors,"z_Blue Collar",5,Commercial,"$27200",Minivan,no,"$0",0,0,"$0",9,used,0,"z_Highly Rural; Rural"
686791659,52,mid-age,"$51278",No,"$230340",Yes,z_F,Bachelors,Professional,37,Private,"$1500",z_SUV,no,"$0",0,1,"$0",10,used,0,"Highly Urban; Urban"
269341556,41,mid-age,"$92842",No,"$286113",z_No,M,Masters,,12,Commercial,"$25810","Panel Truck",no,"$1431",2,5,"$0",15,old,0,"Highly Urban; Urban"
396972296,39,young,"$35081",No,"$202839",Yes,M,Bachelors,"z_Blue Collar",38,Commercial,"$16640",Van,yes,"$0",0,0,"$0",13,old,0,"Highly Urban; Urban"
364483168,56,mid-age,"$0",No,"$63827",Yes,z_F,PhD,"Home Maker",65,Private,"$13220",Minivan,no,"$0",0,0,"$0",12,used,0,"z_Highly Rural; Rural"
866093378,49,mid-age,"$115044",No,"$311980",z_No,z_F,PhD,Doctor,18,Private,"$17900",Minivan,no,"$0",0,0,"$0",14,old,0,"Highly Urban; Urban"
515421877,38,young,"$37754",No,"$138823",Yes,z_F,"z_High School",Clerical,47,Private,"$12080",z_SUV,no,"$0",0,2,"$0",9,used,0,"z_Highly Rural; Rural"
173737852,43,mid-age,"$145353",No,"$418785",Yes,z_F,Masters,,38,Commercial,"$29450",Van,no,"$0",0,0,"$0",15,old,0,"Highly Urban; Urban"
745183922,50,mid-age,"$167469",No,"$0",z_No,z_F,PhD,Doctor,22,Private,"$34150","Sports Car",no,"$0",0,3,"$0",1,New,0,"Highly Urban; Urban"
298271736,63,old-age,"$121398",No,"$343410",Yes,z_F,PhD,Doctor,10,Private,"$16270",z_SUV,no,"$0",0,0,"$0",11,used,0,"Highly Urban; Urban"
70821537,52,mid-age,"$0",No,"$87925",z_No,z_F,"z_High School",Student,48,Commercial,"$9280",z_SUV,no,"$0",0,1,"$0",6,used,0,"z_Highly Rural; Rural"
258951025,35,young,"$14508",No,"$0",Yes,M,Bachelors,Student,22,Commercial,"$6450",Pickup,no,"$0",0,0,"$0",7,used,0,"Highly Urban; Urban"
807174588,43,mid-age,"$75338",No,"$270555",Yes,z_F,Bachelors,Manager,40,Private,"$23080","Sports Car",no,"$0",0,0,"$0",8,used,0,"Highly Urban; Urban"
514538041,41,mid-age,"$32774",No,"$0",z_No,z_F,"z_High School",Clerical,44,Private,"$20120",Minivan,no,"$0",0,0,"$0",1,New,0,"z_Highly Rural; Rural"
25561360,40,young,"$57474",No,"$186418",Yes,M,Bachelors,Clerical,5,Commercial,"$29270","Panel Truck",yes,"$0",0,1,"$0",5,New,0,"Highly Urban; Urban"
753037176,31,young,"$26520",No,"$154493",Yes,M,Bachelors,Student,62,Commercial,"$4600",Minivan,yes,"$0",0,2,"$0",5,New,0,"Highly Urban; Urban"
31827166,53,mid-age,"$107259",No,"$343700",Yes,M,Masters,Professional,36,Private,"$29230",Minivan,yes,"$0",0,0,"$0",15,old,0,"Highly Urban; Urban"
680782638,39,young,"$34046",No,"$183383",Yes,z_F,"z_High School",Clerical,33,Private,"$4040",z_SUV,no,"$0",0,0,"$0",5,New,0,"z_Highly Rural; Rural"
883604551,33,young,"$32364",No,"$152894",Yes,M,"<High School",Clerical,40,Private,"$12270",Minivan,yes,"$0",0,3,"$0",1,New,0,"Highly Urban; Urban"
213057541,42,mid-age,"$52988",No,"$176275",Yes,M,"z_High School","z_Blue Collar",24,Commercial,"$23450",Minivan,no,"$0",0,2,"$0",11,used,0,"z_Highly Rural; Rural"
885280620,40,young,"$16989",No,"$0",z_No,M,"<High School","z_Blue Collar",20,Commercial,"$12230",Pickup,yes,"$26104",1,13,"$6100",6,used,1,"Highly Urban; Urban"
931739722,41,mid-age,"$17755",Yes,"$148815",z_No,z_F,"<High School",Clerical,29,Private,"$14480",Minivan,yes,"$0",0,2,"$0",1,New,0,"Highly Urban; Urban"
840809480,36,young,"$56048",No,"$137836",Yes,M,Masters,Lawyer,15,Private,"$10700",Minivan,no,"$2045",2,2,"$0",16,old,0,"Highly Urban; Urban"
800426023,44,mid-age,"$16352",No,"$134164",Yes,z_F,"z_High School","Home Maker",37,Private,"$10520",z_SUV,no,"$7838",1,1,"$8841",1,New,1,"Highly Urban; Urban"
14827139,56,mid-age,"$44760",No,"$164852",Yes,M,Bachelors,Manager,30,Private,"$21770",Minivan,yes,"$0",0,0,"$0",6,used,0,"Highly Urban; Urban"
212687745,45,mid-age,"$63952",No,"$196368",Yes,z_F,Masters,Lawyer,50,Private,"$32340",Van,no,"$27877",2,0,"$2117",13,old,1,"Highly Urban; Urban"
224701093,34,young,"$22510",No,"$123888",Yes,M,"z_High School",Clerical,26,Private,"$14690",Minivan,yes,"$0",0,0,"$1230",1,New,1,"z_Highly Rural; Rural"
401200262,48,mid-age,,No,"$252896",Yes,M,Bachelors,Professional,14,Commercial,"$28560","Panel Truck",yes,"$1554",5,1,"$0",10,used,0,"Highly Urban; Urban"
926073051,44,mid-age,"$24060",Yes,"$0",z_No,M,Bachelors,Clerical,24,Private,"$14220",Minivan,no,"$0",0,0,"$3532",10,used,1,"Highly Urban; Urban"
45830738,33,young,"$20822",No,"$76022",Yes,z_F,"z_High School","Home Maker",46,Private,"$6880",z_SUV,no,"$7896",3,0,"$866",1,New,1,"Highly Urban; Urban"
997497927,32,young,"$54968",No,"$146784",Yes,z_F,"z_High School",Professional,20,Private,"$10040",z_SUV,no,"$0",0,0,"$0",8,used,0,"Highly Urban; Urban"
862203239,34,young,"$14194",No,"$87034",z_No,z_F,"<High School",Clerical,13,Private,"$2920","Sports Car",no,"$24767",3,2,"$7786",10,used,1,"Highly Urban; Urban"
116102677,38,young,"$2149",No,"$72889",Yes,z_F,"<High School","Home Maker",35,Private,"$22690",Pickup,no,"$0",0,2,"$0",1,New,0,"Highly Urban; Urban"
635101571,35,young,,Yes,"$0",z_No,z_F,"<High School","z_Blue Collar",43,Private,"$9730",z_SUV,no,"$0",0,4,"$5426",4,New,1,"Highly Urban; Urban"
62434528,43,mid-age,"$137103",Yes,"$0",z_No,z_F,Masters,Manager,29,Private,"$19510","Sports Car",no,"$8890",3,0,"$4148",15,old,1,"Highly Urban; Urban"
935079846,49,mid-age,,No,"$0",z_No,M,PhD,,31,Commercial,"$33710","Panel Truck",no,"$34351",2,2,"$0",18,old,0,"Highly Urban; Urban"
948288985,46,mid-age,"$79538",No,"$0",z_No,z_F,Bachelors,Manager,13,Private,"$14050",Minivan,no,"$0",0,2,"$0",11,used,0,"Highly Urban; Urban"
396323054,45,mid-age,"$185836",No,"$509115",Yes,z_F,PhD,Lawyer,28,Private,"$10250",z_SUV,no,"$4307",3,6,"$0",20,old,0,"Highly Urban; Urban"
299024508,46,mid-age,,No,"$397661",z_No,M,Masters,,22,Commercial,"$33320","Panel Truck",yes,"$0",0,1,"$0",12,used,0,"Highly Urban; Urban"
536604822,48,mid-age,"$61509",No,"$195438",Yes,M,Masters,,40,Commercial,"$23230","Panel Truck",yes,"$0",0,1,"$0",17,old,0,"Highly Urban; Urban"
429992959,63,old-age,"$74426",No,"$0",z_No,z_F,PhD,Doctor,11,Private,"$27600",z_SUV,no,"$0",0,0,"$0",18,old,0,"Highly Urban; Urban"
160577728,44,mid-age,"$74722",No,"$231034",Yes,z_F,Bachelors,Professional,9,Private,"$23640",Minivan,no,"$0",0,0,"$0",1,New,0,"Highly Urban; Urban"
108385737,45,mid-age,"$102393",Yes,"$0",z_No,M,Bachelors,Professional,25,Private,"$1500",Minivan,yes,"$0",0,2,"$2371",11,used,1,"Highly Urban; Urban"
414142186,62,old-age,"$40656",No,"$208242",Yes,z_F,"z_High School",Clerical,57,Private,"$9170","Sports Car",no,"$42342",2,2,"$4178",7,used,1,"Highly Urban; Urban"
935010485,37,young,,No,"$205211",Yes,z_F,Bachelors,"z_Blue Collar",43,Commercial,"$5200",z_SUV,no,"$2718",1,1,"$4804",3,New,1,"Highly Urban; Urban"
537840281,35,young,"$29371",No,"$0",z_No,z_F,"<High School",Clerical,49,Private,"$4860","Sports Car",no,"$0",0,0,"$0",1,New,0,"Highly Urban; Urban"
748139140,48,mid-age,"$31773",No,"$165090",Yes,M,"z_High School",Clerical,14,Commercial,"$9640",Pickup,no,"$1212",1,4,"$1354",1,New,1,"Highly Urban; Urban"
601118153,39,young,"$33727",No,"$0",z_No,z_F,Bachelors,Clerical,27,Private,"$10850",z_SUV,no,"$8350",1,2,"$0",12,used,0,"Highly Urban; Urban"
808304017,49,mid-age,"$0",No,"$159389",Yes,z_F,Masters,Professional,42,Private,"$6400",z_SUV,no,"$9115",1,6,"$0",14,old,0,"Highly Urban; Urban"
803325269,44,mid-age,"$139330",Yes,"$316900",z_No,z_F,"z_High School","z_Blue Collar",35,Commercial,"$22050","Sports Car",no,"$0",0,0,"$0",1,New,0,"z_Highly Rural; Rural"
701235200,50,mid-age,"$163296",No,"$447616",z_No,z_F,PhD,Lawyer,42,Private,"$22830",Minivan,no,"$0",0,0,"$0",14,old,0,"z_Highly Rural; Rural"
916609661,30,young,"$17455",Yes,"$140978",z_No,z_F,"<High School","z_Blue Collar",50,Private,"$12380",Minivan,no,"$0",0,0,"$0",6,used,0,"z_Highly Rural; Rural"
469714824,54,mid-age,"$71007",No,"$240833",Yes,M,Bachelors,Manager,61,Private,"$14000",Minivan,no,"$0",0,0,"$0",11,used,0,"Highly Urban; Urban"
46606719,38,young,"$0",No,"$0",Yes,M,"z_High School",Student,41,Commercial,"$17470",Van,no,"$3157",2,5,"$0",6,used,0,"z_Highly Rural; Rural"
454040458,53,mid-age,"$38036",No,"$153381",Yes,z_F,"z_High School","z_Blue Collar",32,Commercial,"$13140",z_SUV,no,"$0",0,4,"$2425",1,New,1,"Highly Urban; Urban"
951246359,53,mid-age,"$41199",No,"$150933",z_No,z_F,Bachelors,Manager,21,Private,"$15360",z_SUV,no,"$0",0,0,"$0",8,used,0,"Highly Urban; Urban"
389315422,29,young,"$38042",Yes,"$202967",z_No,M,"z_High School",Professional,15,Private,"$15160",Minivan,no,"$0",0,0,"$0",1,New,0,"Highly Urban; Urban"
184578161,55,mid-age,"$45787",No,"$173196",Yes,z_F,Masters,Lawyer,5,Private,"$19380",Minivan,no,"$0",0,0,"$0",13,old,0,"Highly Urban; Urban"
59798468,55,mid-age,"$84964",No,"$227091",Yes,M,Bachelors,"z_Blue Collar",21,Commercial,"$5760",Pickup,yes,"$969",2,6,"$0",11,used,0,"Highly Urban; Urban"
402443529,39,young,"$0",No,"$69369",Yes,z_F,"z_High School","Home Maker",36,Private,"$8750","Sports Car",no,"$0",0,0,"$0",8,used,0,"Highly Urban; Urban"
298667574,44,mid-age,"$142588",No,"$365256",Yes,M,Masters,Manager,28,Private,"$21790",Minivan,yes,"$0",0,2,"$0",9,used,0,"Highly Urban; Urban"
303462460,34,young,"$51565",No,"$0",z_No,M,Masters,Lawyer,36,Private,"$18110",Van,yes,"$759",2,3,"$0",15,old,0,"Highly Urban; Urban"
629946797,34,young,"$0",No,"$66358",Yes,z_F,"z_High School","Home Maker",25,Private,"$11740",z_SUV,no,"$1800",2,2,"$5711",1,New,1,"Highly Urban; Urban"
783473090,36,young,"$105384",No,"$267509",Yes,M,Masters,Professional,24,Private,"$13800",Minivan,yes,"$31695",3,4,"$0",17,old,0,"Highly Urban; Urban"
8565171,41,mid-age,"$66265",No,"$159276",Yes,M,Masters,Lawyer,59,Private,"$12230",Minivan,yes,"$0",0,1,"$13105",9,used,1,"Highly Urban; Urban"
950995873,46,mid-age,,No,,z_No,M,Masters,,17,Commercial,"$23350","Panel Truck",yes,"$4678",3,6,"$4061",17,old,1,"Highly Urban; Urban"
867703916,45,mid-age,"$32394",No,"$0",z_No,z_F,"z_High School",Clerical,33,Private,"$13770",z_SUV,no,"$0",0,0,"$0",1,New,0,"Highly Urban; Urban"
593582812,42,mid-age,"$76226",No,"$217920",Yes,M,Bachelors,"z_Blue Collar",18,Commercial,"$23390","Panel Truck",yes,"$0",0,0,"$0",14,old,0,"Highly Urban; Urban"
22340563,38,young,"$7528",No,"$113809",Yes,M,"<High School",Clerical,26,Private,"$8080",Pickup,yes,"$0",0,0,"$0",8,used,0,"z_Highly Rural; Rural"
679555193,33,young,"$0",Yes,"$0",z_No,M,"z_High School",Student,14,Commercial,"$15090",Minivan,yes,"$1631",1,2,"$7838",5,New,1,"Highly Urban; Urban"
161607403,37,young,,No,"$73890",Yes,z_F,Bachelors,Student,48,Commercial,"$12850",z_SUV,no,"$0",0,3,"$3660",6,used,1,"Highly Urban; Urban"
700623278,42,mid-age,"$32797",No,"$160661",Yes,z_F,Masters,Lawyer,63,Private,"$21690",Minivan,no,"$0",0,2,"$0",14,old,0,"Highly Urban; Urban"
755810990,47,mid-age,"$44705",No,"$217885",Yes,z_F,Bachelors,Professional,50,Private,"$12840",z_SUV,no,"$1533",2,0,"$5125",10,used,1,"Highly Urban; Urban"
464090162,43,mid-age,"$0",No,"$70170",Yes,z_F,Bachelors,"Home Maker",26,Private,"$8350",z_SUV,no,"$0",0,3,"$0",7,used,0,"Highly Urban; Urban"
170483243,52,mid-age,"$68992",No,"$216986",z_No,z_F,Bachelors,"z_Blue Collar",36,Commercial,"$15120",Minivan,no,"$0",0,3,"$0",10,used,0,"z_Highly Rural; Rural"
421316364,43,mid-age,"$132561",No,"$314433",z_No,M,Masters,Professional,8,Commercial,"$30150","Panel Truck",no,"$12294",1,0,"$0",1,New,0,"Highly Urban; Urban"
505563410,64,old-age,"$31738",No,"$197010",Yes,M,"<High School","z_Blue Collar",23,Commercial,"$14620",z_SUV,no,"$3994",2,0,"$5085",1,New,1,"Highly Urban; Urban"
813759954,66,old-age,"$96830",No,"$325826",Yes,M,Masters,Professional,23,Private,"$11180",z_SUV,no,"$0",0,0,"$0",16,old,0,"Highly Urban; Urban"
37074844,60,mid-age,"$125893",No,"$0",z_No,M,PhD,,21,Commercial,"$7500",Pickup,yes,"$7278",2,4,"$0",15,old,0,"Highly Urban; Urban"
130470336,35,young,"$154577",Yes,"$397868",z_No,z_F,Bachelors,"z_Blue Collar",27,Private,"$20450",z_SUV,no,"$4645",1,3,"$0",1,New,0,"Highly Urban; Urban"
637739719,52,mid-age,"$64014",No,"$244863",Yes,M,"<High School","z_Blue Collar",33,Commercial,"$7900",Pickup,yes,"$8882",3,1,"$2143",5,New,1,"Highly Urban; Urban"
427956603,52,mid-age,"$79348",No,"$270032",Yes,z_F,"z_High School",Manager,23,Private,"$13150",z_SUV,no,"$0",0,2,"$0",1,New,0,"Highly Urban; Urban"
880941719,38,young,,No,"$0",Yes,z_F,"z_High School",Student,40,Private,"$7050","Sports Car",no,"$0",0,0,"$0",10,used,0,"z_Highly Rural; Rural"
765577228,55,mid-age,"$108152",No,"$329756",Yes,z_F,Masters,Manager,18,Private,"$12320",z_SUV,no,"$0",0,0,"$0",15,old,0,"Highly Urban; Urban"
879477038,47,mid-age,,No,"$276241",Yes,M,Bachelors,Manager,48,Private,"$21320",Van,yes,"$0",0,0,"$0",13,old,0,"Highly Urban; Urban"
106556153,26,young,"$53244",No,"$0",z_No,M,Bachelors,Professional,28,Commercial,"$20920",Van,yes,"$6224",1,1,"$4028",8,used,1,"Highly Urban; Urban"
199037688,61,old-age,"$41857",No,"$169015",Yes,z_F,Masters,Manager,35,Private,"$20870","Sports Car",no,"$0",0,0,"$0",21,vintage,0,"Highly Urban; Urban"
602893924,41,mid-age,"$126468",Yes,"$0",z_No,z_F,Masters,Manager,34,Commercial,"$32690",Pickup,no,"$0",0,2,"$2114",18,old,1,"Highly Urban; Urban"
52095937,40,young,"$75516",No,"$247673",Yes,z_F,"z_High School","z_Blue Collar",53,Commercial,"$13050","Sports Car",no,"$0",0,0,"$0",6,used,0,"z_Highly Rural; Rural"
351243985,52,mid-age,"$76954",No,"$249290",z_No,M,Bachelors,Professional,44,Private,"$19540",Minivan,yes,"$0",0,0,"$0",11,used,0,"Highly Urban; Urban"
838970447,58,mid-age,"$150352",No,"$421665",Yes,z_F,Masters,Manager,21,Private,"$24240",Pickup,no,"$0",0,0,"$0",17,old,0,"Highly Urban; Urban"
515204929,52,mid-age,"$88560",No,"$244028",Yes,M,Masters,Lawyer,14,Private,"$13630",Minivan,no,"$0",0,4,"$0",17,old,0,"Highly Urban; Urban"
711833264,38,young,"$37580",No,"$173495",Yes,z_F,"<High School",Clerical,36,Private,"$5260",z_SUV,no,"$867",2,0,"$8671",1,New,1,"Highly Urban; Urban"
818910510,41,mid-age,"$23344",No,"$147172",Yes,M,"z_High School","z_Blue Collar",10,Private,"$7930",Pickup,no,"$0",0,1,"$6287",1,New,1,"Highly Urban; Urban"
243016778,37,young,"$43290",No,"$158771",Yes,z_F,Bachelors,"z_Blue Collar",29,Private,"$23640",z_SUV,no,"$0",0,0,"$0",10,used,0,"Highly Urban; Urban"
456565450,48,mid-age,"$48737",No,"$220264",Yes,M,Bachelors,Manager,24,Private,"$11220",Pickup,yes,"$0",0,1,"$0",1,New,0,"Highly Urban; Urban"
693628088,47,mid-age,"$64259",No,"$202031",Yes,M,"z_High School",Clerical,26,Private,"$25100",Minivan,no,"$9526",4,3,"$0",9,used,0,"Highly Urban; Urban"
735552551,41,mid-age,"$110386",No,"$335488",Yes,M,Masters,,21,Commercial,"$16640",Van,yes,"$0",0,2,"$3524",14,old,1,"Highly Urban; Urban"
504537312,49,mid-age,"$53765",No,"$0",z_No,z_F,Bachelors,Professional,5,Private,"$12360",z_SUV,no,"$0",0,0,"$0",1,New,0,"Highly Urban; Urban"
82973186,41,mid-age,"$12541",No,"$0",z_No,M,"<High School",Clerical,5,Private,"$7500",Minivan,yes,"$0",0,0,"$0",1,New,0,"z_Highly Rural; Rural"
568473723,47,mid-age,"$104271",No,"$265153",Yes,M,Masters,,40,Commercial,"$36120","Panel Truck",yes,"$0",0,0,"$0",11,used,0,"Highly Urban; Urban"
363126949,30,young,"$26226",No,"$165178",Yes,z_F,"z_High School",Clerical,68,Private,"$23610",z_SUV,no,"$0",0,1,"$0",1,New,0,"z_Highly Rural; Rural"
411375726,44,mid-age,"$67278",No,"$220556",Yes,z_F,Masters,Lawyer,49,Private,"$20210",Minivan,no,"$0",0,0,"$0",16,old,0,"z_Highly Rural; Rural"
789568994,46,mid-age,"$104990",No,"$306540",z_No,z_F,Bachelors,Professional,40,Private,"$16080",z_SUV,no,"$0",0,0,"$0",7,used,0,"Highly Urban; Urban"
927823143,49,mid-age,"$89948",No,"$0",z_No,z_F,Bachelors,Professional,37,Private,"$18160",z_SUV,no,"$0",0,4,"$0",9,used,0,"Highly Urban; Urban"
453867386,33,young,"$111427",No,"$321483",Yes,z_F,Masters,,35,Commercial,"$28180",Van,no,"$0",0,3,"$0",4,New,0,"Highly Urban; Urban"
1307371,44,mid-age,"$44790",No,"$205463",Yes,z_F,Masters,,5,Commercial,"$19800",Pickup,no,"$37163",1,4,"$0",9,used,0,"Highly Urban; Urban"
179968769,62,old-age,"$107734",No,"$0",z_No,z_F,PhD,Lawyer,54,Private,"$18470",z_SUV,no,"$0",0,0,"$0",15,old,0,"Highly Urban; Urban"
180832267,42,mid-age,"$0",No,,z_No,M,"<High School",Student,47,Commercial,"$5700",Pickup,yes,"$0",0,5,"$10594",1,New,1,"Highly Urban; Urban"
328154114,36,young,"$25282",Yes,"$0",z_No,z_F,"z_High School",Clerical,38,Private,"$11160",z_SUV,no,"$0",0,0,"$0",1,New,0,"z_Highly Rural; Rural"
316724150,47,mid-age,"$18549",No,"$116136",Yes,M,Masters,Lawyer,24,Private,"$12800",Minivan,no,"$0",0,0,"$0",14,old,0,"Highly Urban; Urban"
582086109,50,mid-age,,No,"$147191",Yes,M,"z_High School",Clerical,11,Commercial,"$17300",Van,yes,"$0",0,0,"$0",7,used,0,"Highly Urban; Urban"
680425927,51,mid-age,"$50166",No,"$187297",z_No,M,"z_High School","z_Blue Collar",32,Commercial,"$11620",Pickup,no,"$50701",3,0,"$0",1,New,0,"Highly Urban; Urban"
541204921,46,mid-age,"$73872",No,"$245878",Yes,z_F,Masters,Lawyer,43,Private,"$20240","Sports Car",no,"$0",0,0,"$0",16,old,0,"z_Highly Rural; Rural"
329922821,50,mid-age,"$73343",No,"$254600",Yes,z_F,"z_High School",Manager,60,Private,"$20010",Minivan,no,"$4179",2,4,"$0",8,used,0,"Highly Urban; Urban"
271813109,43,mid-age,"$49849",Yes,"$0",z_No,z_F,Masters,Lawyer,35,Private,"$13130",z_SUV,no,"$3622",3,4,"$6158",20,old,1,"Highly Urban; Urban"
394642738,39,young,"$12054",No,"$0",Yes,z_F,"<High School",Student,28,Commercial,"$15760",Pickup,no,"$1738",2,4,"$4887",1,New,1,"Highly Urban; Urban"
